Name,Train Accuracy,Train F1 Negative,Train F1 Positive,Train MCC Score,Train MCC Std,Validation Accuracy,Validation F1 Negative,Validation F1 Positive,Validation MCC Score,Validation MCC Std,Test Accuracy,Test F1 Negative,Test F1 Positive,Test MCC Score,Test MCC Std,Ratio,Random
svclin,100.0,100.0,100.0,100.0,0.0,89.16734693877552,91.79302291636256,83.92543859649122,76.14425111341657,5.486693584064024,86.98412698412697,90.11740231404542,80.90805469818517,71.17805423897777,2.974754787894315,2.0,2
logistic,100.0,100.0,100.0,100.0,0.0,89.57551020408164,92.08407244851192,84.51390108567674,77.19045019205075,7.693421532815487,87.61904761904762,90.58920329812796,81.89191976486362,72.59484232864475,4.283666070983975,2.0,2
random,99.89949748743716,99.9250936329588,99.8473282442748,99.77370849678849,0.5060031839115363,90.37551020408164,93.12996096123936,83.85311240483654,78.15745461459615,9.647068168771712,90.47619047619048,93.1187577458628,84.53036437246963,78.3114110227204,2.636131984122424,2.0,2
knn,100.0,100.0,100.0,100.0,0.0,88.35918367346939,91.11854329245634,82.95051649890361,74.55719596688884,7.057833119437066,89.20634920634922,91.85886402753871,83.98671096345515,75.86663531308582,4.466930347154447,2.0,2
svcrbf,100.0,100.0,100.0,100.0,0.0,92.47851650836724,95.178253590388,82.68519870037898,79.75404839230602,6.703116046110586,92.14285714285714,94.8760582029214,83.14012047003061,78.52357970846228,4.824772779564803,3.0,2
svclin,100.0,100.0,100.0,100.0,0.0,90.07236544549976,93.33066591812135,80.3392315157021,74.36241928069539,7.185813007733881,90.47619047619048,93.50059496329432,82.17021276595744,76.02322433488465,3.333287632054423,3.0,2
logistic,100.0,100.0,100.0,100.0,0.0,90.97693351424697,93.94679427102108,82.0731044260456,76.61691582425811,7.2115709735782145,89.76190476190476,93.02627336162308,80.74308300395258,74.05353750371356,2.1863340524061545,3.0,2
random,100.0,100.0,100.0,100.0,0.0,92.78154681139756,95.42509306566843,82.73223550642906,80.2882705394748,10.699852848632371,90.00000000000001,93.42215762273902,79.12820512820512,72.74953379160489,7.715232917218682,3.0,2
knn,100.0,100.0,100.0,100.0,0.0,91.5649027589326,94.398079432191,82.68149643149643,77.71909074530667,8.490506636280793,90.71428571428572,93.68491551459292,82.39353669586228,76.36446337543953,6.099371266281703,3.0,2
svcrbf,100.0,100.0,100.0,100.0,0.0,93.98450946643716,96.30042665463334,83.86969648816145,80.56825165583552,9.87809946539344,91.15384615384616,94.60865756860927,75.34206271048376,71.03357611939423,4.01495663388048,4.0,2
svclin,99.93975903614458,99.9623352165725,99.84962406015038,99.81283764426234,0.4185077502583883,92.79116465863451,95.46509096351932,82.33386327503975,78.00552184541091,4.3073299652254216,85.57692307692307,90.63591893780573,68.58917480035493,60.19655430917361,4.546220994638249,4.0,2
logistic,100.0,100.0,100.0,100.0,0.0,92.5473321858864,95.31657129150918,81.62199339395882,77.25760097488606,3.0232570111003887,88.26923076923076,92.47701557111004,73.35221783047871,66.31425835402744,3.085166018836371,4.0,2
random,99.87969897608453,99.9248117644149,99.69918009612664,99.62574814037892,0.5125229309446159,94.22547332185886,96.5044246418162,83.327158977882,81.0562655239568,7.714049609402197,89.03846153846152,93.45664135877408,66.21428571428571,62.83422044046804,3.2623287949479294,4.0,2
knn,100.0,100.0,100.0,100.0,0.0,93.74641422834196,96.10295426048286,84.10986261225091,80.39315453272474,6.383691497383514,88.65384615384615,92.96840568363486,70.51154821886529,63.800264951019074,3.3958703626165474,4.0,2
svcrbf,100.0,100.0,100.0,100.0,0.0,94.58989898989898,96.81998300892732,81.84077332464429,79.41487103774048,10.323478746857244,94.72,96.8969462457458,82.29808756124547,80.11961068194054,2.883266303058439,5.0,2
svclin,99.84962406015038,99.90977443609022,99.54887218045111,99.46107299141887,0.4919707990811051,93.58989898989898,96.16587724850748,80.40208536982729,76.65521812863253,11.257236904457471,91.36,94.79902373070708,74.4480998298355,69.33415772826854,4.217396589092915,5.0,2
